#name	base	sugar	phosphate	o2group

2ofluoro-m7G	m7G	ribose	default	fluoride
dethC	ethC	desoxyribose	default	oh
5fluoroU	5fluoroU	ribose	default	oh
5fluoroC	5fluoroC	ribose	default	oh
dhOroP	dhOro	ribose	mono_phosphate	oh
7fluorobenzylG	7fluorobenzylG	ribose	default	oh
2oNC	cytosine	ribose	default	2n
2oNAcC	cytosine	ribose	default	2n-acetyl
disoG	isoguanine	desoxyribose	default	oh
de3T	e3m5U	desoxyribose	default	oh
o6U	o6U	ribose	default	oh
2ofluoro-8oG	8oG	ribose	default	fluoride
3pADP	adenine	ribose_3p	di_phosphate	oh
23pC	cytosine	ribose_23p	default	oh
23pA	adenine	ribose_23p	default	oh
35pG	guanine	ribose_3p	default	oh
d35pG	guanine	desoxyribose_3p	default	oh
d3pT	thymine	desoxyribose_3p	default	oh
d5mpA	adenine	desoxyribose	methyl_phosphonate	oh
VA	adenine	ribose_23vanadate	default	oh
d5mpC	cytosine	desoxyribose	methyl_phosphonate	oh
phosphonoG	guanine	phosphono_ribose	default	oh
m5Ueth	thymine	ribose	default	ethyl
dmo5U	mo5U	desoxyribose	default	oh
dmh5U	mh5U	desoxyribose	default	oh


# nucleotide phosphates
AMP	adenine	ribose	mono_phosphate	oh
ADP	adenine	ribose	di_phosphate	oh
ATP	adenine	ribose	tri_phosphate	oh
IMP	inosine	ribose	mono_phosphate	oh
IDP	inosine	ribose	di_phosphate	oh
ITP	inosine	ribose	tri_phosphate	oh
GMP	guanine	ribose	mono_phosphate	oh
GDP	guanine	ribose	di_phosphate	oh
GTP	guanine	ribose	tri_phosphate	oh
CMP	cytosine	ribose	mono_phosphate	oh
CDP	cytosine	ribose	di_phosphate	oh
CTP	cytosine	ribose	tri_phosphate	oh
UMP	uracil	ribose	mono_phosphate	oh
UDP	uracil	ribose	di_phosphate	oh
UTP	uracil	ribose	tri_phosphate	oh
TMP	thymine	ribose	mono_phosphate	oh
TDP	thymine	ribose	di_phosphate	oh
TTP	thymine	ribose	tri_phosphate	oh

# desoxy phosphates
dAMP	adenine	desoxyribose	mono_phosphate	oh
dADP	adenine	desoxyribose	di_phosphate	oh
dATP	adenine	desoxyribose	tri_phosphate	oh
dGMP	guanine	desoxyribose	mono_phosphate	oh
dGDP	guanine	desoxyribose	di_phosphate	oh
dGTP	guanine	desoxyribose	tri_phosphate	oh
dCMP	cytosine	desoxyribose	mono_phosphate	oh
dCDP	cytosine	desoxyribose	di_phosphate	oh
dCTP	cytosine	desoxyribose	tri_phosphate	oh
dUMP	uracil	desoxyribose	mono_phosphate	oh
dUDP	uracil	desoxyribose	di_phosphate	oh
dUTP	uracil	desoxyribose	tri_phosphate	oh
dTMP	thymine	desoxyribose	mono_phosphate	oh
dTDP	thymine	desoxyribose	di_phosphate	oh
dTTP	thymine	desoxyribose	tri_phosphate	oh

# unknown modifications of the phosphate group
?A_mod_phos	adenine	ribose	mod_phosphate	oh
?C_mod_phos	cytosine	ribose	mod_phosphate	oh
?G_mod_phos	guanine	ribose	mod_phosphate	oh
?U_mod_phos	uracil	ribose	mod_phosphate	oh
?T_mod_phos	thymine	ribose	mod_phosphate	oh

?A_5'amino	adenine	ribose	amino	oh
?C_5'amino	cytosine	ribose	amino	oh
?G_5'amino	guanine	ribose	amino	oh
?U_5'amino	uracil	ribose	amino	oh
?T_5'amino	thymine	ribose	amino	oh
?Tm_5'amino	thymine	ribose	amino	methyl-o

?dA_mod_phos	adenine	desoxyribose	mod_phosphate	oh
?dC_mod_phos	cytosine	desoxyribose	mod_phosphate	oh
?dG_mod_phos	guanine	desoxyribose	mod_phosphate	oh
?dU_mod_phos	uracil	desoxyribose	mod_phosphate	oh
