fn,rmsd
Triple_cSW_tHW_UAC_exemplar_rpr.pdb,1.38
Triple_cSW_tHH_AAA_rpr.pdb,1.38
Triple_cSW_cHS_UGA_exemplar_rpr.pdb,1.38
Triple_cWW_tHW_UAC_exemplar_rpr.pdb,1.39
Triple_cSW_tSH_AGU_rpr.pdb,1.39
Triple_tWW_tHH_CUA_rpr.pdb,1.39
Triple_tWW_tHH_UCG_rpr.pdb,1.39
Triple_cWW_tHW_UAC_rpr.pdb,1.39
Triple_tSW_tHS_GUA_rpr.pdb,1.4
Triple_cWW_tHH_CUC_rpr.pdb,1.4
Triple_cWW_tSW_AUA_rpr.pdb,1.4
Triple_tWW_cHW_CUA_rpr.pdb,1.4
Triple_tSW_tSH_UGU_rpr.pdb,1.4
Triple_tSW_cHW_CAG_rpr.pdb,1.41
Triple_tHW_tSW_AUC_rpr.pdb,1.41
Triple_cSW_tHW_AAC_rpr.pdb,1.41
Triple_tSW_tSW_AUC_rpr.pdb,1.41
Triple_cSW_tSW_GCC_rpr.pdb,1.41
Triple_cSW_tHH_CAA_rpr.pdb,1.41
Triple_cSW_tHW_UUU_rpr.pdb,1.42
Triple_cWW_tSH_UGG_rpr.pdb,1.42
Triple_cSW_cHH_AGA_rpr.pdb,1.42
Triple_tWW_tHW_AUU_rpr.pdb,1.42
Triple_cSW_tHW_UCC_rpr.pdb,1.42
Triple_cWW_cHH_CAG_rpr.pdb,1.42
Triple_cSW_tHH_CGG_rpr.pdb,1.43
Triple_tSW_cHW_UUA_rpr.pdb,1.44
Triple_cHW_tHW_AUU_rpr.pdb,1.44
Triple_cSW_tHS_AUG_rpr.pdb,1.44
Triple_cWW_tSH_CAU_rpr.pdb,1.44
Triple_cSW_tSW_UAA_rpr.pdb,1.44
Triple_cWW_tSH_CGU_rpr.pdb,1.44
Triple_cSW_cHW_UAG_rpr.pdb,1.45
Triple_tHW_tSW_AUA_rpr.pdb,1.45
Triple_tWW_tSW_CCC_rpr.pdb,1.45
Triple_tSW_cHH_UGA_rpr.pdb,1.45
Triple_tWW_tSH_UAU_rpr.pdb,1.45
Triple_tSW_cSW_CUA_exemplar_rpr.pdb,1.45
Triple_cWW_tHH_UAG_rpr.pdb,1.45
Triple_tWW_tSW_CUC_rpr.pdb,1.46
Triple_cWW_tHH_UGA_rpr.pdb,1.46
Triple_tSW_cHW_CUU_rpr.pdb,1.46
Triple_cHW_tHH_GUC_rpr.pdb,1.46
Triple_cSW_tHW_CUU_rpr.pdb,1.47
Triple_tWW_tHW_CCC_rpr.pdb,1.47
Triple_cHW_tHS_AGG_rpr.pdb,1.47
Triple_tSW_tHW_UGU_rpr.pdb,1.47
Triple_cWW_tHH_UGC_rpr.pdb,1.47
Triple_cSW_tSH_GGG_rpr.pdb,1.47
Triple_cSW_tHH_GUA_rpr.pdb,1.48
Triple_cHW_tHH_GAG_rpr.pdb,1.48
Triple_tWW_tHH_UCA_rpr.pdb,1.48
Triple_tSW_tSW_UUC_rpr.pdb,1.48
Triple_tHW_tHH_GGC_rpr.pdb,1.48
Triple_tWW_cHH_CAG_exemplar_rpr.pdb,1.48
Triple_tHW_tHW_GAA_rpr.pdb,1.48
Triple_tSW_cSW_CUG_rpr.pdb,1.48
Triple_tHW_cHW_UUA_rpr.pdb,1.49
Triple_cWW_tHH_UAA_rpr.pdb,1.49
Triple_tSW_tHW_CUU_rpr.pdb,1.49
Triple_tSW_cHW_GAG_rpr.pdb,1.49
Triple_cWW_tHW_AUU_rpr.pdb,1.49
Triple_tWW_cHW_UAG_rpr.pdb,1.49
Triple_tSW_cHW_UGA_rpr.pdb,1.49
Triple_cSW_tHH_AGG_rpr.pdb,1.49
Triple_cHW_tHH_UAU_rpr.pdb,1.5
Triple_cSW_tSW_CCC_rpr.pdb,1.5
Triple_cWW_tHH_UAU_rpr.pdb,1.5
Triple_tWW_tHW_UGA_rpr.pdb,1.5
Triple_cWW_tHH_UCU_rpr.pdb,1.5
Triple_tWW_tHW_GGA_rpr.pdb,1.5
Triple_cHW_tHH_GAU_rpr.pdb,1.51
Triple_tHW_tSH_GGU_rpr.pdb,1.51
Triple_cHW_tHH_GAA_rpr.pdb,1.51
Triple_tWW_tHH_UAC_rpr.pdb,1.51
Triple_tWW_tHH_ACU_rpr.pdb,1.51
Triple_cSW_tSW_ACC_rpr.pdb,1.52
Triple_cHW_tHS_GGG_rpr.pdb,1.52
Triple_cSW_cHW_GGG_rpr.pdb,1.53
Triple_tWW_tHW_UCC_rpr.pdb,1.53
Triple_cHW_tSH_AGU_rpr.pdb,1.53
Triple_cSW_tHH_GUC_rpr.pdb,1.53
Triple_cSW_tHS_GUG_rpr.pdb,1.53
Triple_cWW_tHH_UAA_exemplar_rpr.pdb,1.53
Triple_tSW_cHW_UUU_rpr.pdb,1.53
Triple_tSW_cHW_GCC_rpr.pdb,1.54
Triple_cHW_tHW_AGC_rpr.pdb,1.54
Triple_cSW_tHW_AUU_rpr.pdb,1.54
Triple_tWW_cSW_CUG_rpr.pdb,1.54
Triple_cSW_tHS_AUA_rpr.pdb,1.54
Triple_tSW_tSW_GUC_rpr.pdb,1.54
Triple_cSW_tSW_AUA_rpr.pdb,1.55
Triple_cWW_cHW_UGG_rpr.pdb,1.55
Triple_cSW_tHH_UGG_rpr.pdb,1.55
Triple_tHW_cHH_GAG_rpr.pdb,1.55
Triple_tSW_cSW_UUG_rpr.pdb,1.56
Triple_cSW_tHS_GUA_rpr.pdb,1.56
Triple_cHW_tHW_GUU_rpr.pdb,1.56
Triple_tSW_tHH_CUC_rpr.pdb,1.56
Triple_cWW_tHS_AUG_exemplar_rpr.pdb,1.56
Triple_tSW_tSW_UUG_rpr.pdb,1.56
Triple_tHW_tHW_GGG_rpr.pdb,1.57
Triple_tWW_tHH_GCA_exemplar_rpr.pdb,1.57
Triple_cWW_tHS_AUA_exemplar_rpr.pdb,1.57
Triple_tSW_cHW_AUC_rpr.pdb,1.57
Triple_cWW_tHS_UAU_exemplar_rpr.pdb,1.58
Triple_cHW_tHH_UAG_rpr.pdb,1.58
Triple_tHW_tHH_GAU_rpr.pdb,1.58
Triple_tHW_cSW_AUG_rpr.pdb,1.58
Triple_tSW_cHH_CGA_rpr.pdb,1.58
Triple_tWW_tSW_AUA_rpr.pdb,1.58
Triple_cSW_tHH_GAA_rpr.pdb,1.59
Triple_tSW_tSH_CUC_rpr.pdb,1.59
Triple_tSW_cHW_UCC_rpr.pdb,1.6
Triple_tWW_tHW_CGG_rpr.pdb,1.6
Triple_tSW_tSW_CUA_rpr.pdb,1.6
Triple_cSW_tHS_CUA_rpr.pdb,1.6
Triple_tHW_tHW_CCC_rpr.pdb,1.6
Triple_tSW_cHW_CCC_rpr.pdb,1.6
Triple_tWW_tHH_GUC_rpr.pdb,1.6
Triple_cSW_tSW_CGA_rpr.pdb,1.6
Triple_cSW_tHW_CAU_exemplar_rpr.pdb,1.61
Triple_cWW_tSW_CCA_rpr.pdb,1.61
Triple_tWW_cHW_CUU_rpr.pdb,1.61
Triple_tHW_tSW_GUC_rpr.pdb,1.61
Triple_tWW_tHW_CGC_rpr.pdb,1.61
Triple_cSW_tHW_UAU_rpr.pdb,1.62
Triple_tWW_tSW_CUG_rpr.pdb,1.62
Triple_cWW_tHS_AUA_rpr.pdb,1.62
Triple_tHW_cHW_AUU_rpr.pdb,1.62
Triple_cWW_tHH_GCG_rpr.pdb,1.62
Triple_tSW_tSW_GUG_rpr.pdb,1.62
Triple_cWW_tHS_CCU_rpr.pdb,1.62
Triple_cSW_tSW_AAA_rpr.pdb,1.63
Triple_cSW_tSW_GUA_rpr.pdb,1.63
Triple_cWW_tHS_UCC_exemplar_rpr.pdb,1.63
Triple_cWW_tHS_CCA_rpr.pdb,1.63
Triple_tSW_cHW_UAG_rpr.pdb,1.63
Triple_tSW_tSH_UUC_rpr.pdb,1.64
Triple_cSW_tHW_AAU_rpr.pdb,1.64
Triple_cSW_tHS_UUA_rpr.pdb,1.64
Triple_cWW_tHH_CCA_rpr.pdb,1.64
Triple_tWW_tSH_CUC_rpr.pdb,1.65
Triple_cSW_tSH_UAC_rpr.pdb,1.65
Triple_cSW_tSH_GAA_rpr.pdb,1.65
Triple_tWW_cHH_CAG_rpr.pdb,1.65
Triple_cWW_tHH_GCU_exemplar_rpr.pdb,1.65
Triple_cWW_cSH_UAG_exemplar_rpr.pdb,1.65
Triple_cWW_tHW_CUU_rpr.pdb,1.65
Triple_cSW_tSH_CAA_rpr.pdb,1.65
Triple_cWW_tHH_UCG_rpr.pdb,1.65
Triple_cWW_tHH_GCA_rpr.pdb,1.66
Triple_cSW_tSH_AAA_rpr.pdb,1.66
Triple_cWW_tHH_UCA_rpr.pdb,1.66
Triple_tSW_cSW_AUG_rpr.pdb,1.66
Triple_cSW_tHW_GAC_rpr.pdb,1.66
Triple_cHW_tHH_UCG_rpr.pdb,1.66
Triple_cWW_tHW_CCC_rpr.pdb,1.66
Triple_tWW_cHW_UCC_rpr.pdb,1.67
Triple_cHW_tHS_UCU_rpr.pdb,1.67
Triple_tSW_cHW_AUU_rpr.pdb,1.67
Triple_cWW_tHH_CAC_rpr.pdb,1.68
Triple_tHW_tHH_AUA_rpr.pdb,1.68
Triple_cSW_tSW_CAA_rpr.pdb,1.68
Triple_cHW_tHS_GCA_rpr.pdb,1.68
Triple_cHW_tHS_GCU_rpr.pdb,1.69
Triple_cWW_tHW_AUG_exemplar_rpr.pdb,1.69
Triple_cSW_tSW_AGA_rpr.pdb,1.69
Triple_tSW_cHW_CUC_rpr.pdb,1.69
Triple_cWW_tSH_CGU_exemplar_rpr.pdb,1.69
Triple_tHW_tSW_AUG_rpr.pdb,1.69
Triple_cSW_tSH_UAA_rpr.pdb,1.69
Triple_cHW_cSW_AUA_exemplar_rpr.pdb,1.69
Triple_tHW_tSH_AUC_rpr.pdb,1.69
Triple_cSW_tHW_GUU_rpr.pdb,1.7
Triple_tWW_tHS_GUA_exemplar_rpr.pdb,1.7
Triple_cSW_tSH_UCA_rpr.pdb,1.7
Triple_cHW_tHH_UCA_rpr.pdb,1.7
Triple_tHW_cHH_AAG_rpr.pdb,1.7
Triple_cSW_tHW_GUU_exemplar_rpr.pdb,1.7
Triple_tSH_tSH_UAU_rpr.pdb,1.72
Triple_tSW_tSW_CUG_rpr.pdb,1.72
Triple_cSW_tSH_GCA_rpr.pdb,1.72
Triple_cHW_tSW_GCA_rpr.pdb,1.72
Triple_tSW_cHH_CAG_rpr.pdb,1.72
Triple_cWW_tHS_UGG_rpr.pdb,1.72
Triple_cSW_tHW_CAU_rpr.pdb,1.72
Triple_cHW_cSW_GCA_rpr.pdb,1.72
Triple_cWW_tHH_CGG_rpr.pdb,1.73
Triple_cWW_tHH_GUC_rpr.pdb,1.73
Triple_tSW_tHH_UCU_rpr.pdb,1.73
Triple_tWW_tSH_UCA_rpr.pdb,1.73
Triple_cSW_tSW_UGA_rpr.pdb,1.73
Triple_cSW_tSW_GGA_rpr.pdb,1.74
Triple_tSW_tHS_GUG_exemplar_rpr.pdb,1.74
Triple_tHW_tHW_UUU_rpr.pdb,1.74
Triple_cSW_tSW_UUA_rpr.pdb,1.74
Triple_tHW_tSW_CCC_rpr.pdb,1.74
Triple_tHW_cHW_GUU_rpr.pdb,1.74
Triple_tHW_tHW_AAA_rpr.pdb,1.74
Triple_tHW_cHW_GUC_rpr.pdb,1.75
Triple_cSW_tHH_CGC_rpr.pdb,1.75
Triple_cSW_tSH_UCC_rpr.pdb,1.75
Triple_cWW_cSW_CCA_rpr.pdb,1.75
Triple_cSW_tSH_ACC_rpr.pdb,1.75
Triple_cSW_tSH_GGA_exemplar_rpr.pdb,1.75
Triple_cSW_tHW_UUG_rpr.pdb,1.75
Triple_tSW_tSH_AUC_rpr.pdb,1.75
Triple_cSW_tSH_CCC_rpr.pdb,1.75
Triple_cHW_tSW_UAA_rpr.pdb,1.76
Triple_cSW_tSH_ACA_rpr.pdb,1.76
Triple_cHW_cSW_AUA_rpr.pdb,1.76
Triple_tSW_tSH_GUC_rpr.pdb,1.76
Triple_cHW_tSW_UCA_rpr.pdb,1.76
Triple_tHW_tHH_GAG_rpr.pdb,1.76
Triple_tSW_cSW_GUG_rpr.pdb,1.76
Triple_cSW_tSH_GCC_rpr.pdb,1.76
Triple_tHW_tHW_AAA_exemplar_rpr.pdb,1.76
Triple_cSW_cSW_CGG_rpr.pdb,1.77
Triple_cSW_tSH_CCA_rpr.pdb,1.77
Triple_tWW_tSH_CCA_rpr.pdb,1.77
Triple_tSW_tHH_CCU_rpr.pdb,1.77
Triple_tSW_cHW_GUU_rpr.pdb,1.78
Triple_cSW_tSH_AGA_exemplar_rpr.pdb,1.78
Triple_tSW_tSH_UUA_rpr.pdb,1.78
Triple_cHW_tHW_UUU_rpr.pdb,1.78
Triple_tSW_tHH_GCU_rpr.pdb,1.78
Triple_tSW_cHW_ACC_rpr.pdb,1.79
Triple_cHW_cSW_GAG_rpr.pdb,1.79
Triple_tHW_cHW_AAG_rpr.pdb,1.79
Triple_tHW_tSW_UUC_rpr.pdb,1.79
Triple_cHW_tHS_CCA_rpr.pdb,1.79
Triple_cSW_tHH_GGG_rpr.pdb,1.79
Triple_cWW_tHH_CUA_rpr.pdb,1.79
Triple_cHW_tSW_CCA_rpr.pdb,1.79
Triple_cSW_cSW_CGA_rpr.pdb,1.79
Triple_cWW_tSH_CCC_rpr.pdb,1.79
Triple_cWW_cSW_UAG_rpr.pdb,1.8
Triple_cWW_cHS_CGA_exemplar_rpr.pdb,1.8
Triple_cSW_tSW_CUA_rpr.pdb,1.8
Triple_cSW_tSH_CAC_rpr.pdb,1.8
Triple_cSW_tHW_AUG_rpr.pdb,1.8
Triple_tWW_cHW_UGG_rpr.pdb,1.8
Triple_cSW_tHW_GAU_rpr.pdb,1.8
Triple_cHW_tHW_UAA_rpr.pdb,1.8
Triple_cSW_tHW_GGG_rpr.pdb,1.8
Triple_cHW_cSW_UCA_rpr.pdb,1.8
Triple_cSW_tSH_AAA_exemplar_rpr.pdb,1.8
Triple_cHW_tHW_UAC_rpr.pdb,1.8
Triple_cSW_tSH_AAC_rpr.pdb,1.8
Triple_cWW_tHW_AUG_rpr.pdb,1.8
Triple_tWW_cHW_CAG_rpr.pdb,1.8
Triple_tHW_cHW_GCC_rpr.pdb,1.8
Triple_tSH_tSW_AUC_rpr.pdb,1.81
Triple_cHW_tHS_UCA_rpr.pdb,1.81
Triple_cSW_tHW_CUG_rpr.pdb,1.81
Triple_cHW_tHH_UAA_rpr.pdb,1.81
Triple_cWW_tHW_CGA_rpr.pdb,1.81
Triple_cHW_cSW_CCA_rpr.pdb,1.82
Triple_cSW_cSW_UCG_rpr.pdb,1.82
Triple_cWW_tHS_CCC_rpr.pdb,1.82
Triple_cSW_tSH_GGA_rpr.pdb,1.82
Triple_cSW_tHW_CGA_rpr.pdb,1.82
Triple_cWW_tHS_GCC_exemplar_rpr.pdb,1.82
Triple_cWW_tSW_GUA_rpr.pdb,1.82
Triple_tSW_tSH_CGA_rpr.pdb,1.82
Triple_cSW_tHW_UGA_rpr.pdb,1.82
Triple_cHW_tHH_GCG_rpr.pdb,1.83
Triple_cWW_cHH_AGA_rpr.pdb,1.83
Triple_cWW_tSH_CGG_exemplar_rpr.pdb,1.83
Triple_cHW_tHW_AGA_rpr.pdb,1.83
Triple_cSW_tSH_CGA_exemplar_rpr.pdb,1.83
Triple_cHW_tHW_GAA_rpr.pdb,1.83
Triple_cSW_cSW_ACG_rpr.pdb,1.83
Triple_tHW_tSW_ACC_rpr.pdb,1.83
Triple_cWW_tHW_CAU_rpr.pdb,1.83
Triple_cSW_cSW_CCG_rpr.pdb,1.83
Triple_cSW_tHH_UGC_rpr.pdb,1.83
Triple_tHW_cHW_ACC_rpr.pdb,1.83
Triple_tWW_tSW_AUC_rpr.pdb,1.83
Triple_cWW_tHS_GCU_rpr.pdb,1.84
Triple_tSW_tSH_CUA_rpr.pdb,1.84
Triple_cWW_tHW_UGG_rpr.pdb,1.84
Triple_tSW_cHH_AAG_rpr.pdb,1.84
Triple_tSW_cHS_GUA_rpr.pdb,1.84
Triple_tWW_cHW_CCC_rpr.pdb,1.84
Triple_tWW_tHH_GCG_rpr.pdb,1.84
Triple_tSW_tHW_AAA_rpr.pdb,1.85
Triple_tHW_cHW_GAG_rpr.pdb,1.85
