fn,rmsd_all
pistol_thrs0.50A_clust01-000001_AA.pdb,7.6 
pistol_thrs0.50A_clust01-000001_AA.pdb,7.6 
pistol_thrs0.50A_clust02-000001_AA.pdb,7.77 
pistol_thrs0.50A_clust03-000001_AA.pdb,18.17 
