triple,instances,clashes,near,exists,contacts_bo,contacts_no_bk,contacts_rpr,clashscore_rpr,clashscore_no_bk,clashscore_bo,,,
cWW_cHW_GUC,0,0,0,1,4,4,4,0,0,0,,,
cWW_cHW_GUU,0,0,1,1,4,4,4,0,0,0,,,
cWW_cHW_UAG,0,0,0,1,4,4,5,0,0,0,,,
cWW_cHW_UAU,16,0,2,1,4,4,5,0,0,0,,,
cWW_cHW_UCC,0,0,0,1,3,3,3,0,0,0,,,
cWW_cHW_UGA,0,1,0,1,4,4,4,10,12.2,25,,,
cWW_cHW_UGC,0,0,0,1,5,5,5,0,0,0,,,
cWW_cHW_UGG,0,1,0,1,5,5,5,0,0,0,,,
cWW_cHW_UGU,0,1,3,1,4,4,5,0,0,0,,,
cWW_cHW_UUA,0,0,0,1,3,3,3,0,0,0,,,
cWW_cHW_UUC,0,0,0,1,3,3,3,0,0,0,,,
cWW_cHW_UUU,0,0,0,1,3,3,3,0,0,0,,,
cWW_cSH_AAA,0,4,0,1,2,3,5,29.41,11.9,0,,,
cWW_cSH_AAC,0,1,0,1,2,2,3,0,0,0,,,
cWW_cSH_AAG,0,7,1,1,1,1,2,0,0,0,,,
cWW_cSH_AAU,0,0,0,1,1,1,2,0,0,0,,,
cWW_cSH_ACA,0,3,0,1,3,4,4,30,24.39,50,,,
cWW_cSH_ACC,0,19,0,1,1,1,1,31.25,38.46,55.56,,,
cWW_cSH_ACU,0,18,0,1,1,2,2,164.95,139.24,54.05,,,
cWW_cSH_AGA,0,1,0,1,3,3,3,9.71,11.76,23.26,,,
cWW_cSH_AGC,0,1,0,1,2,2,2,0,0,0,,,
cWW_cSH_AGG,0,1,0,1,3,3,4,9.62,0,0,,,
cWW_cSH_AGU,0,0,0,1,3,3,3,0,0,0,,,
cWW_cSH_AUA,3,0,4,1,3,3,4,0,0,0,,,
cWW_cSH_AUC,9,0,5,1,3,3,3,0,0,0,,,
cWW_cSH_AUU,0,3,0,1,2,2,2,20.83,12.82,0,,,
cWW_cSH_CAA,1,4,1,1,2,3,5,10.1,0,0,,,
cWW_cSH_CAC,0,1,0,1,2,2,2,0,0,0,,,
cWW_cSH_CAG,0,7,0,1,1,1,1,0,0,0,,,
cWW_cSH_CAU,0,0,0,1,1,1,1,0,0,0,,,
cWW_cSH_CCA,0,3,2,1,2,4,5,20.41,12.5,0,,,
cWW_cSH_CCC,0,5,0,1,2,2,2,41.67,51.28,83.33,,,
cWW_cSH_CCU,0,17,0,1,0,1,1,147.37,116.88,0,,,
cWW_cSH_CGA,4,6,7,1,5,5,6,40,24.1,48.78,,,
cWW_cSH_CGC,0,1,3,1,3,3,3,0,0,0,,,
cWW_cSH_CGG,4,0,3,1,4,4,4,0,0,0,,,
cWW_cSH_CGU,12,0,5,1,4,4,5,0,0,0,,,
cWW_cSH_CUA,0,3,0,1,2,2,2,20.62,12.66,0,,,
cWW_cSH_CUC,0,3,0,1,2,2,2,21.05,12.99,0,,,
cWW_cSH_CUU,0,3,0,1,1,1,1,21.28,13.16,0,,,
cWW_cSH_GAA,0,4,0,1,3,4,5,29.13,11.76,0,,,
cWW_cSH_GAC,0,1,0,1,3,3,3,0,0,0,,,
cWW_cSH_GAG,0,7,0,1,3,3,3,0,0,0,,,
cWW_cSH_GAU,0,0,0,1,2,2,2,0,0,0,,,
cWW_cSH_GCA,0,1,13,1,4,5,5,9.9,0,0,,,
cWW_cSH_GCC,1,0,4,1,2,2,3,0,0,57.14,,,
cWW_cSH_GCU,1,0,3,1,4,5,6,0,0,0,,,
cWW_cSH_GUA,0,8,1,1,4,4,4,40,36.59,50,,,
cWW_cSH_GUC,0,11,0,1,2,2,2,81.63,87.5,157.89,,,
cWW_cSH_GUU,0,7,0,1,2,2,2,21.05,12.99,0,,,
cWW_cSH_UAA,1,0,5,1,3,4,4,0,0,0,,,
cWW_cSH_UAC,0,1,0,1,3,3,3,0,0,0,,,
cWW_cSH_UAG,1,0,0,1,2,2,4,0,0,0,,,
cWW_cSH_UAU,0,0,0,1,2,2,2,0,0,0,,,
cWW_cSH_UCA,0,1,0,1,2,2,2,10.31,0,0,,,
cWW_cSH_UCC,0,3,1,1,2,2,2,31.58,38.96,57.14,,,
cWW_cSH_UCU,0,15,0,1,1,2,2,148.94,118.42,0,,,
cWW_cSH_UGA,0,1,1,1,4,4,4,10,12.2,25,,,
cWW_cSH_UGG,0,2,0,1,4,5,7,19.8,0,0,,,
cWW_cSH_UGU,0,0,2,1,4,4,4,0,0,0,,,
cWW_cSH_UUA,0,3,0,1,4,4,4,20.83,12.82,0,,,
cWW_cSH_UUC,1,4,0,1,3,3,4,32.26,13.16,88.24,,,
cWW_cSH_UUU,0,7,0,1,2,2,2,21.51,13.33,0,,,
cWW_cSS_AAA,0,5,0,1,1,1,2,9.9,0,0,,,
cWW_cSS_AAC,0,6,0,1,1,1,2,0,0,0,,,
cWW_cSS_AAG,0,5,0,1,2,2,3,9.8,0,0,,,
cWW_cSS_AAU,0,1,0,1,1,2,3,0,0,0,,,
cWW_cSS_ACA,0,1,1,1,1,3,3,0,0,0,,,
cWW_cSS_ACC,0,0,0,1,1,1,1,0,0,0,,,
cWW_cSS_ACG,0,2,0,1,3,4,4,9.9,12.05,24.39,,,
cWW_cSS_ACU,0,0,0,1,1,3,3,0,0,0,,,
cWW_cSS_AGA,1,1,0,1,2,4,7,9.71,11.76,0,,,
cWW_cSS_AGC,0,0,0,1,2,3,3,0,0,0,,,
cWW_cSS_AGG,0,0,0,1,2,3,5,0,0,0,,,
cWW_cSS_AGU,0,0,0,1,2,2,2,0,0,0,,,
cWW_cSS_AUA,24,0,18,1,2,4,4,0,0,0,,,
cWW_cSS_AUC,1,0,3,1,2,2,4,0,0,0,,,
cWW_cSS_AUG,23,0,3,1,3,4,6,0,0,0,,,
cWW_cSS_AUU,0,3,3,1,2,2,2,20.83,12.82,0,,,
cWW_cSS_CAA,0,5,0,1,1,1,1,10.1,0,0,,,
cWW_cSS_CAC,0,6,0,1,1,1,1,0,0,0,,,
cWW_cSS_CAG,0,5,0,1,2,2,2,10,0,0,,,
cWW_cSS_CAU,0,0,0,1,1,4,4,0,0,0,,,
cWW_cSS_CCA,0,1,0,1,0,2,2,0,0,0,,,
cWW_cSS_CCC,0,1,0,1,0,0,0,0,0,0,,,
cWW_cSS_CCG,0,3,0,1,1,2,2,0,0,0,,,
cWW_cSS_CCU,0,1,0,1,0,2,2,0,0,0,,,
cWW_cSS_CGA,125,0,36,1,3,5,5,0,0,0,,,
cWW_cSS_CGC,10,0,1,1,3,4,7,0,0,0,,,
cWW_cSS_CGG,4,0,3,1,3,4,6,0,0,0,,,
cWW_cSS_CGU,13,0,0,1,3,3,7,0,0,0,,,
cWW_cSS_CUA,0,3,1,1,1,3,3,20.62,12.66,0,,,
cWW_cSS_CUC,0,0,0,1,1,3,3,0,0,0,,,
cWW_cSS_CUG,0,3,0,1,2,3,3,20.41,12.5,0,,,
cWW_cSS_CUU,0,3,0,1,1,1,1,21.28,13.16,0,,,
cWW_cSS_GAA,2,0,0,1,2,2,5,0,0,0,,,
cWW_cSS_GAC,4,1,0,1,2,2,6,0,0,0,,,
cWW_cSS_GAG,0,5,0,1,3,3,3,9.71,0,0,,,
cWW_cSS_GAU,0,0,0,1,2,4,4,0,0,0,,,
cWW_cSS_GCA,345,0,30,1,3,5,9,0,0,0,,,
cWW_cSS_GCC,0,0,0,1,3,3,3,0,0,0,,,
cWW_cSS_GCG,20,0,1,1,4,5,7,9.8,11.9,0,,,
cWW_cSS_GCU,5,0,0,1,3,5,5,0,0,0,,,
cWW_cSS_GUA,4,0,3,1,4,6,6,0,0,75,,,
cWW_cSS_GUC,0,0,0,1,5,6,6,0,0,0,,,
cWW_cSS_GUG,0,13,0,1,3,4,4,69.31,72.29,121.95,,,
cWW_cSS_GUU,0,5,0,1,4,4,4,20.62,12.66,0,,,
cWW_cSS_UAA,21,0,4,1,2,2,5,0,0,0,,,
cWW_cSS_UAC,1,0,0,1,2,2,5,0,0,0,,,
cWW_cSS_UAG,1,0,1,1,3,3,6,0,0,0,,,
cWW_cSS_UAU,2,1,2,1,2,5,6,10.42,0,0,,,
cWW_cSS_UCA,0,0,1,1,1,3,3,0,0,0,,,
cWW_cSS_UCC,0,0,0,1,1,2,2,0,0,0,,,
cWW_cSS_UCG,0,1,0,1,2,3,3,0,0,0,,,
cWW_cSS_UCU,0,0,0,1,1,3,3,0,0,0,,,
cWW_cSS_UGA,4,2,4,1,3,5,6,10,0,0,,,
cWW_cSS_UGC,1,0,0,1,3,5,5,0,0,0,,,
cWW_cSS_UGG,2,0,2,1,3,4,9,0,0,0,,,
cWW_cSS_UGU,4,1,0,1,3,3,4,0,0,0,,,
cWW_cSS_UUA,2,0,2,1,2,4,5,0,0,0,,,
cWW_cSS_UUC,0,3,0,1,2,4,4,21.28,13.16,0,,,
cWW_cSS_UUG,3,1,0,1,5,6,6,0,0,27.03,,,
cWW_cSS_UUU,0,3,0,1,3,3,3,21.51,13.33,0,,,
cWW_cSW_AAA,0,0,0,1,2,2,3,0,0,0,,,
cWW_cSW_AAC,0,0,0,1,2,2,3,0,0,0,,,
cWW_cSW_AAG,0,2,0,1,1,1,2,19.42,0,0,,,
cWW_cSW_AAU,0,0,0,1,2,3,4,0,0,0,,,
cWW_cSW_ACA,0,19,1,1,4,4,4,160,146.34,75,,,
cWW_cSW_ACC,0,2,0,1,3,4,4,20.41,25,52.63,,,
cWW_cSW_ACG,0,33,0,1,2,2,2,306.93,325.3,390.24,,,
cWW_cSW_ACU,0,16,0,1,1,2,2,164.95,202.53,432.43,,,
cWW_cSW_AGA,0,1,0,1,2,2,2,0,0,0,,,
cWW_cSW_AGC,0,1,0,1,3,3,3,0,0,0,,,
cWW_cSW_AGG,0,0,0,1,3,3,3,0,0,0,,,
cWW_cSW_AGU,0,1,0,1,4,4,4,10,12.2,0,,,
cWW_cSW_AUA,12,0,12,1,3,3,4,0,0,0,,,
cWW_cSW_AUC,8,0,2,1,3,3,4,0,0,0,,,
cWW_cSW_AUG,1,0,0,1,4,4,4,0,0,0,,,
cWW_cSW_AUU,1,0,0,1,3,4,3,0,0,55.56,,,
cWW_cSW_CAA,0,0,0,1,2,2,2,0,0,0,,,
cWW_cSW_CAC,0,0,0,1,2,2,2,0,0,0,,,
cWW_cSW_CAG,0,2,0,1,1,1,1,19.8,0,0,,,
cWW_cSW_CAU,0,0,0,1,2,3,3,0,0,0,,,
cWW_cSW_CCA,0,16,0,1,1,1,1,132.65,112.5,0,,,
cWW_cSW_CCC,0,16,0,1,1,1,1,135.42,115.38,0,,,
cWW_cSW_CCG,0,5,0,1,3,3,3,40.4,49.38,25.64,,,
cWW_cSW_CCU,0,3,0,1,2,2,2,31.58,38.96,28.57,,,
cWW_cSW_CGA,3,5,5,1,3,3,4,19.8,24.1,0,,,
cWW_cSW_CGC,4,0,2,1,4,4,6,0,0,0,,,
cWW_cSW_CGG,4,0,2,1,4,4,6,0,0,0,,,
cWW_cSW_CGU,1,5,2,1,5,5,8,41.24,50,0,,,
cWW_cSW_CUA,2,0,2,1,2,2,6,0,0,0,,,
cWW_cSW_CUC,0,3,0,1,2,2,2,21.05,12.99,0,,,
cWW_cSW_CUG,0,5,0,1,3,3,4,30.61,12.5,0,,,
cWW_cSW_CUU,0,0,0,1,2,3,3,0,0,0,,,
cWW_cSW_GAA,0,0,1,1,3,3,3,0,0,0,,,
cWW_cSW_GAC,0,0,0,1,3,3,3,0,0,0,,,
cWW_cSW_GAG,0,2,0,1,3,3,3,19.23,0,0,,,
cWW_cSW_GAU,0,0,0,1,4,5,5,0,0,0,,,
cWW_cSW_GCA,49,0,16,1,4,4,5,0,0,0,,,
cWW_cSW_GCC,5,1,12,1,4,4,5,0,0,0,,,
cWW_cSW_GCG,0,21,0,1,5,5,5,186.27,178.57,142.86,,,
cWW_cSW_GCU,2,0,0,1,4,5,5,0,0,157.89,,,
cWW_cSW_GUA,0,13,0,1,3,3,3,80,85.37,150,,,
cWW_cSW_GUC,0,10,0,1,3,3,3,61.22,62.5,105.26,,,
cWW_cSW_GUG,0,36,0,1,6,5,6,10.42,0,0,,,
cWW_cSW_GUU,0,14,0,1,2,3,3,144.33,177.22,378.38,,,
cWW_cSW_UAA,7,0,10,1,3,3,4,0,0,0,,,
cWW_cSW_UAC,7,0,2,1,3,3,5,0,0,0,,,
cWW_cSW_UAG,0,2,1,1,2,2,2,20,0,0,,,
cWW_cSW_UAU,4,0,1,1,3,4,4,0,0,0,,,
cWW_cSW_UCA,0,14,0,1,2,2,2,134.02,113.92,0,,,
cWW_cSW_UCC,0,14,0,1,2,2,2,136.84,116.88,0,,,
cWW_cSW_UCG,0,14,1,1,3,3,3,132.65,112.5,0,,,
cWW_cSW_UCU,0,0,0,1,2,3,3,0,0,0,,,
cWW_cSW_UGA,0,1,0,1,3,3,3,0,0,0,,,
cWW_cSW_UGC,0,1,0,1,4,4,4,0,0,0,,,
cWW_cSW_UGG,0,0,0,1,4,4,4,0,0,0,,,
cWW_cSW_UGU,0,1,0,1,5,5,5,10.31,12.66,0,,,
cWW_cSW_UUA,0,5,0,1,4,5,5,31.25,25.64,27.78,,,
cWW_cSW_UUC,0,5,0,1,4,4,4,31.91,26.32,29.41,,,
cWW_cSW_UUG,0,58,0,1,4,6,7,10.53,0,0,,,
cWW_cSW_UUU,0,11,0,1,3,5,6,118.28,146.67,333.33,,,
cWW_tHH_AAA,0,0,0,1,3,4,5,0,0,0,,,
cWW_tHH_AAC,0,1,0,1,2,2,4,10,0,0,,,
cWW_tHH_AAG,0,0,0,1,2,2,3,0,0,0,,,
cWW_tHH_AAU,0,0,0,1,2,3,4,0,0,0,,,
cWW_tHH_ACA,0,0,0,1,2,3,3,0,0,0,,,
cWW_tHH_ACG,0,0,0,1,2,3,4,0,0,0,,,
cWW_tHH_ACU,0,0,0,1,2,3,3,0,0,0,,,
cWW_tHH_AGA,0,2,0,1,4,4,4,19.42,23.53,46.51,,,
cWW_tHH_AGC,0,0,0,1,3,3,3,0,0,0,,,
cWW_tHH_AGG,0,0,0,1,2,2,3,0,0,0,,,
cWW_tHH_AUA,1,0,2,1,4,4,4,0,0,0,,,
cWW_tHH_AUC,0,0,1,1,3,4,4,0,0,0,,,
cWW_tHH_CAA,0,1,0,1,3,4,4,0,0,0,,,
cWW_tHH_CAC,0,0,0,1,2,2,2,0,0,0,,,
cWW_tHH_CAG,0,0,0,1,3,3,4,0,0,0,,,
cWW_tHH_CAU,0,1,0,1,2,2,2,10.31,12.66,27.03,,,
cWW_tHH_CCA,0,1,0,1,1,2,2,0,0,0,,,
cWW_tHH_CCG,0,1,1,1,1,2,2,0,0,0,,,
cWW_tHH_CCU,0,1,1,1,1,2,2,0,0,0,,,
cWW_tHH_CGA,0,2,2,1,5,5,5,19.8,24.1,48.78,,,
cWW_tHH_CGC,7,1,1,1,4,4,5,10.1,12.35,0,,,
cWW_tHH_CGG,0,1,3,1,3,3,4,0,0,0,,,
cWW_tHH_CUA,0,7,0,1,2,3,3,31.25,38.46,83.33,,,
cWW_tHH_CUC,0,2,0,1,2,3,3,21.05,25.97,57.14,,,
cWW_tHH_GAA,0,0,0,1,4,5,5,0,0,0,,,
cWW_tHH_GAC,0,0,0,1,3,3,3,0,0,0,,,
cWW_tHH_GAG,0,0,1,1,3,3,3,0,0,0,,,
cWW_tHH_GAU,0,0,0,1,3,4,4,0,0,0,,,
cWW_tHH_GCA,1,0,2,1,4,5,6,0,0,0,,,
cWW_tHH_GCG,7,1,1,1,4,5,4,0,0,0,,,
cWW_tHH_GCU,3,1,1,1,4,5,5,0,0,0,,,
cWW_tHH_GUA,0,0,0,1,4,4,4,0,0,0,,,
cWW_tHH_GUC,0,0,0,1,4,4,4,0,0,0,,,
cWW_tHH_UAA,17,0,3,1,4,5,5,0,0,0,,,
cWW_tHH_UAC,0,0,0,1,3,3,3,0,0,0,,,
cWW_tHH_UAG,0,0,1,1,3,3,3,0,0,0,,,
cWW_tHH_UAU,0,0,0,1,3,4,4,0,0,0,,,
cWW_tHH_UCA,0,0,0,1,2,3,3,0,0,0,,,
cWW_tHH_UCG,0,0,0,1,2,3,4,0,0,0,,,
cWW_tHH_UCU,0,0,0,1,2,3,3,0,0,0,,,
cWW_tHH_UGA,0,12,0,1,4,4,4,0,0,0,,,
cWW_tHH_UGC,0,0,0,1,4,4,5,0,0,0,,,
cWW_tHH_UGG,0,10,0,1,4,3,4,89.11,108.43,48.78,,,
cWW_tHH_UUA,0,0,0,1,3,3,3,0,0,0,,,
cWW_tHH_UUC,0,0,0,1,3,3,3,0,0,0,,,
cWW_tHS_AAA,0,0,0,1,2,2,3,0,0,0,,,
cWW_tHS_AAC,0,0,0,1,2,3,4,0,0,0,,,
cWW_tHS_AAG,0,0,0,1,3,3,4,0,0,0,,,
cWW_tHS_AAU,0,5,0,1,2,4,5,40.4,49.38,25.64,,,
cWW_tHS_ACA,0,0,0,1,2,2,2,0,0,0,,,
cWW_tHS_ACC,0,0,0,1,2,3,3,0,0,0,,,
cWW_tHS_ACU,0,0,0,1,2,3,3,0,0,0,,,
cWW_tHS_AGG,0,1,1,1,3,3,3,0,0,0,,,
cWW_tHS_AUA,6,1,9,1,3,3,3,0,0,0,,,
cWW_tHS_AUG,6,3,2,1,3,3,5,10,12.2,0,,,
cWW_tHS_CAG,0,12,0,1,3,2,2,10.2,12.5,0,,,
cWW_tHS_CAU,0,43,0,1,2,1,2,64.52,66.67,54.05,,,
cWW_tHS_CCA,0,1,1,1,1,1,1,0,0,0,,,
cWW_tHS_CCC,0,1,0,1,1,2,2,0,0,0,,,
cWW_tHS_CCU,0,1,0,1,1,2,2,0,0,0,,,
cWW_tHS_CGG,10,4,1,1,4,4,4,29.41,35.71,0,,,
cWW_tHS_CUA,0,9,0,1,1,1,1,10.53,12.99,28.57,,,
cWW_tHS_CUG,0,9,0,1,3,3,3,102.04,125,52.63,,,
cWW_tHS_GAA,0,5,0,1,3,3,3,9.8,0,0,,,
cWW_tHS_GAC,0,13,0,1,3,5,5,138.61,108.43,0,,,
cWW_tHS_GAG,0,0,0,1,4,6,6,0,0,0,,,
cWW_tHS_GAU,0,10,0,1,3,5,5,80,85.37,25,,,
cWW_tHS_GCA,0,5,5,1,4,4,4,10,0,0,,,
cWW_tHS_GCC,1,0,3,1,4,5,5,0,0,0,,,
cWW_tHS_GCU,0,0,4,1,4,4,4,0,0,0,,,
cWW_tHS_GUA,4,1,0,1,3,3,4,10,0,0,,,
cWW_tHS_GUG,0,0,2,1,4,4,4,0,0,0,,,
cWW_tHS_UAA,0,5,1,1,3,3,3,10.2,0,0,,,
cWW_tHS_UAC,0,13,1,1,3,4,4,144.33,113.92,0,,,
cWW_tHS_UAG,3,0,3,1,4,5,6,0,0,0,,,
cWW_tHS_UAU,2,0,4,1,3,5,4,0,0,27.78,,,
cWW_tHS_UCA,0,13,0,1,2,2,2,134.02,164.56,0,,,
cWW_tHS_UCC,1,0,0,1,2,4,6,0,0,0,,,
cWW_tHS_UCU,0,0,0,1,2,3,3,0,0,0,,,
cWW_tHS_UGG,0,7,1,1,5,5,6,59.41,72.29,24.39,,,
cWW_tHS_UUA,0,0,0,1,2,2,2,0,0,0,,,
cWW_tHS_UUG,0,0,0,1,3,3,3,0,0,0,,,
cWW_tHW_AAA,0,0,0,1,3,3,5,0,0,0,,,
cWW_tHW_AAC,0,0,0,1,3,3,5,0,0,0,,,
cWW_tHW_AAU,0,2,1,1,3,3,4,20.2,0,0,,,
cWW_tHW_ACC,0,1,0,1,2,2,3,10.2,0,0,,,
cWW_tHW_AGA,0,0,0,1,3,3,3,0,0,0,,,
cWW_tHW_AGC,0,0,0,1,4,4,4,0,0,0,,,
cWW_tHW_AGG,0,0,0,1,5,5,6,0,0,0,,,
cWW_tHW_AGU,0,4,0,1,3,4,4,0,0,0,,,
cWW_tHW_AUG,1,0,2,1,4,4,4,0,0,0,,,
cWW_tHW_AUU,0,0,0,1,3,3,3,0,0,0,,,
cWW_tHW_CAA,0,0,0,1,3,3,3,0,0,0,,,
cWW_tHW_CAC,3,1,2,1,4,4,5,10.2,12.5,26.32,,,
cWW_tHW_CAU,0,0,0,1,3,3,3,0,0,0,,,
cWW_tHW_CCC,0,1,0,1,1,1,2,0,0,0,,,
cWW_tHW_CGA,2,1,5,1,4,4,4,9.9,12.05,0,,,
cWW_tHW_CGC,6,0,2,1,5,5,5,0,0,0,,,
cWW_tHW_CGG,25,0,1,1,6,6,6,0,0,0,,,
cWW_tHW_CGU,0,4,0,1,4,5,5,0,0,0,,,
cWW_tHW_CUG,0,2,0,1,2,2,2,0,0,0,,,
cWW_tHW_CUU,1,0,0,1,3,3,3,0,0,29.41,,,
cWW_tHW_GAA,0,0,0,1,4,4,4,0,0,0,,,
cWW_tHW_GAC,0,0,0,1,4,4,4,0,0,0,,,
cWW_tHW_GAU,0,1,0,1,4,4,4,10,0,0,,,
cWW_tHW_GCC,2,0,2,1,4,4,6,0,0,0,,,
cWW_tHW_GUG,0,0,0,1,5,5,5,0,0,0,,,
cWW_tHW_GUU,0,0,0,1,4,4,4,0,0,0,,,
cWW_tHW_UAA,5,0,5,1,4,4,4,0,0,0,,,
cWW_tHW_UAC,19,0,2,1,4,4,4,0,0,0,,,
cWW_tHW_UAU,10,0,0,1,4,4,4,0,0,0,,,
cWW_tHW_UCC,0,0,0,1,2,2,3,0,0,0,,,
cWW_tHW_UGA,2,0,1,1,4,4,4,0,0,25,,,
cWW_tHW_UGC,0,2,0,1,4,5,5,0,0,0,,,
cWW_tHW_UGG,3,0,0,1,6,6,3,0,0,0,,,
cWW_tHW_UGU,1,0,0,1,4,5,4,0,0,0,,,
cWW_tHW_UUG,0,0,0,1,4,4,4,0,0,0,,,
cWW_tHW_UUU,0,0,0,1,3,3,3,0,0,0,,,
cWW_tSH_AAA,0,3,0,1,2,3,3,29.41,35.71,71.43,,,
cWW_tSH_AAC,0,0,0,1,2,2,3,0,0,0,,,
cWW_tSH_AAU,0,5,0,1,1,1,2,50.51,61.73,128.21,,,
cWW_tSH_ACA,0,12,0,1,2,3,4,10,12.2,0,,,
cWW_tSH_ACC,0,22,0,1,2,2,2,204.08,200,184.21,,,
cWW_tSH_AGA,0,1,0,1,4,4,4,0,0,0,,,
cWW_tSH_AGG,2,0,0,1,3,3,5,0,0,0,,,
cWW_tSH_AGU,0,0,0,1,3,3,3,0,0,0,,,
cWW_tSH_AUA,1,0,1,1,3,3,4,0,0,25.64,,,
cWW_tSH_AUC,0,3,1,1,3,3,3,20.62,12.66,0,,,
cWW_tSH_CAA,0,0,0,1,2,2,2,0,0,0,,,
cWW_tSH_CAC,0,0,0,1,2,2,2,0,0,0,,,
cWW_tSH_CAU,0,13,0,1,1,1,1,123.71,101.27,0,,,
cWW_tSH_CCA,0,0,0,1,1,2,2,0,0,0,,,
cWW_tSH_CCC,0,16,0,1,1,1,1,135.42,115.38,0,,,
cWW_tSH_CGA,4,0,18,1,5,5,7,0,0,0,,,
cWW_tSH_CGG,1,0,8,1,4,4,4,0,0,0,,,
cWW_tSH_CGU,1,1,5,1,4,4,4,0,0,0,,,
cWW_tSH_CUA,0,8,0,1,2,2,2,61.86,63.29,27.03,,,
cWW_tSH_CUC,0,3,0,1,2,2,2,21.05,12.99,0,,,
cWW_tSH_GAA,0,1,0,1,4,4,4,9.71,11.76,23.26,,,
cWW_tSH_GAC,0,0,0,1,3,3,3,0,0,0,,,
cWW_tSH_GAU,0,3,1,1,2,2,2,30.3,37.04,76.92,,,
cWW_tSH_GCA,1,1,4,1,5,5,8,10,12.05,24.39,,,
cWW_tSH_GCC,0,17,3,1,4,4,4,151.52,135.8,51.28,,,
cWW_tSH_GUA,0,16,0,1,3,4,4,71.43,75,26.32,,,
cWW_tSH_GUC,0,16,0,1,3,3,3,20.83,12.82,0,,,
cWW_tSH_UAA,1,0,0,1,3,3,7,0,0,0,,,
cWW_tSH_UAC,0,0,8,1,3,3,3,0,0,0,,,
cWW_tSH_UAU,0,5,0,1,2,2,2,52.08,64.1,83.33,,,
cWW_tSH_UCA,0,0,0,1,2,2,2,0,0,0,,,
cWW_tSH_UCC,0,14,0,1,2,2,2,136.84,116.88,0,,,
cWW_tSH_UGA,2,0,1,1,5,5,5,0,0,0,,,
cWW_tSH_UGG,0,0,1,1,4,4,5,0,0,0,,,
cWW_tSH_UGU,1,0,1,1,4,4,4,0,0,0,,,
cWW_tSH_UUA,0,20,0,1,3,5,5,114.58,128.21,27.78,,,
cWW_tSH_UUC,0,23,0,1,3,4,4,95.74,105.26,0,,,
cWW_tSW_AAA,0,3,0,1,2,2,3,20.62,35.71,71.43,,,
cWW_tSW_AAC,0,0,0,1,2,2,3,206.52,0,0,,,
cWW_tSW_AAU,0,0,0,1,2,3,4,0,0,0,,,
cWW_tSW_ACA,0,17,0,1,2,2,2,0,134.15,50,,,
cWW_tSW_ACC,0,16,0,1,3,3,3,0,175,315.79,,,
cWW_tSW_ACG,0,5,0,1,2,3,3,0,0,0,,,
cWW_tSW_ACU,0,26,0,1,1,2,2,134.02,89.74,0,,,
cWW_tSW_AGA,2,0,1,1,4,4,4,0,0,0,,,
cWW_tSW_AGC,0,0,1,1,4,5,5,0,0,0,,,
cWW_tSW_AGU,0,0,0,1,3,3,3,0,0,0,,,
cWW_tSW_AUA,1,0,0,1,3,3,5,0,0,0,,,
cWW_tSW_AUC,0,0,0,1,3,4,4,10.2,0,0,,,
cWW_tSW_AUG,0,9,1,1,5,6,6,0,60.98,100,,,
cWW_tSW_AUU,0,6,1,1,3,3,3,83.33,51.28,83.33,,,
cWW_tSW_CAA,0,0,0,1,2,2,2,42.55,0,0,,,
cWW_tSW_CAU,0,2,0,1,2,2,2,52.63,0,0,,,
cWW_tSW_CCA,0,16,0,1,1,1,1,33.71,112.5,0,,,
cWW_tSW_CCC,0,1,0,1,1,1,1,0,0,0,,,
cWW_tSW_CCG,0,3,1,1,3,3,3,9.71,12.35,25.64,,,
cWW_tSW_CCU,0,1,0,1,1,1,1,160,0,0,,,
cWW_tSW_CGA,50,0,41,1,5,6,7,210,0,0,,,
cWW_tSW_CGC,4,0,1,1,5,6,6,9.71,0,0,,,
cWW_tSW_CGU,2,0,2,1,4,4,6,0,0,0,,,
cWW_tSW_CUA,0,0,0,1,2,2,2,40.4,0,0,,,
cWW_tSW_CUC,0,0,0,1,2,2,2,0,0,0,,,
cWW_tSW_CUG,0,3,0,1,3,3,3,0,12.5,0,,,
cWW_tSW_CUU,0,4,0,1,2,2,2,79.21,39.47,0,,,
cWW_tSW_GAA,0,2,0,1,4,4,4,132.65,0,0,,,
cWW_tSW_GAC,0,0,0,1,3,3,3,131.31,0,0,,,
cWW_tSW_GAU,0,2,3,1,3,3,3,0,24.69,0,,,
cWW_tSW_GCA,0,14,3,1,4,4,4,9.9,108.43,0,,,
cWW_tSW_GCC,1,0,2,1,5,5,6,9.8,0,0,,,
cWW_tSW_GCG,3,0,6,1,5,6,4,0,0,71.43,,,
cWW_tSW_GCU,0,7,2,1,4,6,6,0,0,0,,,
cWW_tSW_GUA,0,14,0,1,2,2,2,9.71,123.46,256.41,,,
cWW_tSW_GUC,0,11,0,1,2,3,3,0,64.94,85.71,,,
cWW_tSW_GUG,0,20,0,1,1,1,1,9.62,12.66,0,,,
cWW_tSW_GUU,0,58,0,1,5,2,2,0,256.76,0,,,
cWW_tSW_UAA,0,0,0,1,3,3,3,128.71,0,0,,,
cWW_tSW_UAC,0,0,1,1,3,3,3,9.8,0,0,,,
cWW_tSW_UAU,3,0,0,1,3,3,5,127.45,0,0,,,
cWW_tSW_UCA,0,14,0,1,2,2,2,79.21,113.92,0,,,
cWW_tSW_UCC,0,0,0,1,2,2,2,0,0,0,,,
