triple,instances,clashes,near,exists,contacts_bo,contacts_no_bk,contacts_rpr,clashscore_rpr,clashscore_no_bk,clashscore_bo,,,
cHH_cSW_GCU,0,14,0,1,1,1,0,51.55,25,0,,,
cHH_cSW_GGA,0,6,0,1,0,1,2,57.69,34.88,0,,,
cHH_cSW_GGC,0,32,0,1,1,2,3,178.22,72.29,0,,,
cHH_cSW_GGG,0,6,0,1,1,2,3,57.14,34.48,0,,,
cHH_cSW_GGU,0,32,0,1,2,2,2,10.1,12.2,0,,,
cHH_tSH_AGA,0,1,0,1,3,3,3,0,0,0,,,
cHH_tSH_AGG,0,0,0,1,2,2,2,0,0,0,,,
cHH_tSH_AGU,0,0,0,1,2,2,2,0,0,0,,,
cHH_tSH_CGA,0,1,0,1,2,2,2,9.9,12.05,0,,,
cHH_tSH_CGG,0,1,0,1,1,1,1,9.9,11.9,0,,,
cHH_tSH_CGU,0,1,0,1,1,1,1,10.31,12.5,0,,,
cHH_tSH_GAA,0,0,0,1,2,2,2,0,0,0,,,
cHH_tSH_GAC,0,0,0,1,2,2,2,0,0,0,,,
cHH_tSH_GAU,0,0,0,1,1,1,1,0,0,0,,,
cHH_tSH_GCA,0,32,0,1,1,1,1,150,134.15,0,,,
cHH_tSH_GCC,0,32,0,1,1,1,1,153.06,137.5,0,,,
cHH_tSH_GGA,0,23,0,1,2,2,3,67.96,23.53,0,,,
cHH_tSH_GGG,0,3,0,1,1,1,3,28.85,0,0,,,
cHH_tSH_GGU,0,2,0,1,1,1,3,0,0,0,,,
cHH_tSS_AGA,0,1,0,1,1,1,1,9.71,0,0,,,
cHH_tSS_AGC,0,0,0,1,2,2,2,0,0,0,,,
cHH_tSS_AGG,0,0,0,1,3,4,4,0,0,0,,,
cHH_tSS_AGU,0,0,0,1,2,3,3,0,0,0,,,
cHH_tSS_CGA,0,3,0,1,0,0,0,19.8,12.05,0,,,
cHH_tSS_CGC,0,1,0,1,1,1,1,10.2,12.35,0,,,
cHH_tSS_CGG,0,3,0,1,2,3,3,9.8,11.9,0,,,
cHH_tSS_CGU,0,1,0,1,1,2,2,10.31,12.5,0,,,
cHH_tSS_GAA,0,0,0,1,1,2,2,0,0,0,,,
