cWW_cHS_UUU,1
cHW_cHW_UUU,3

cWW_cHS_UUG,6
cWW_cSS_UUG,3

cWW_cSH_UUC,1
tHW_cSH_UUC,1

cWW_cSS_UUA,2
cWW_tsS_UUA,1#?

cWW_tHW_UGU,1
cWW_tSH_UGU,1
cWW_cSS_UGU,4

cWW_tHW_UGG,3
cWW_cHS_UGG,3
cWW_cSS_UGG,2
cWW_tsS_UGG,1#?

cWW_cHH_UGC,1
cWW_tSW_UGC,1
cWW_cSS_UGC,1

cWW_tHW_UGA,2
cWW_tSW_UGA,4
cWW_tSH_UGA,2
cWW_cSS_UGA,4
cWW_tsS_UGA,1#?
cSW_cHS_UGA,1
cSW_tSH_UGA,2
cWH_tSS_UGA,3

cWW_cHS_UCU,1
 
cWW_tHS_UCC,1

cSH_cSS_UCA,2

cWW_cHW_UAU,16
cWW_tHW_UAU,10
cWW_cHS_UAU,1
cWW_tHS_UAU,2
cWW_cSW_UAU,4
cWW_tSW_UAU,3
cWW_cSS_UAU,2
cWW_cSS_UAU,4
tWW_tHS_UAU,1
tWW_cSS_UAU,1
tWH_cSS_UAU,1
tWH_tSS_UAU,2

cWW_tHS_UAG,3
cWW_cSH_UAG,1
cWW_cSS_UAG,1
tWW_tHS_UAG,3
cSW_cSS_UAG,1
cWH_cSS_UAG,1
cWH_tSS_UAG,4
tWH_cSS_UAG,23
tWH_tSS_UAG,5
tSH_tSS_UAG,15


cWW_tHW_UAC,19
cWW_cSW_UAC,7
cWW_cSS_UAC,1
cSW_tHW_UAC,1
cSW_cSS_UAC,2
cWH_cSS_UAC,1
cWH_tSS_UAC,1
tWH_cSH_UAC,1
tWH_cSS_UAC,12
tWH_tSS_UAC,4
tHH_cSS_UAC,1
tSH_cSW_UAC,1
tSH_cSS_UAC,8

cWW_tHW_UAA,5
cWW_tHH_UAA,17
cWW_cHS_UAA,9
cWW_cSW_UAA,7
cWW_cSH_UAA,1
cWW_tSH_UAA,1
cWW_cSS_UAA,21
cWW_tSS_UAA,1 #?
cWH_cSS_UAA,1
cWH_tSS_UAA,3
tWH_cSW_UAA,2
tWH_cSS_UAA,1
tWH_tSS_UAA,1

cSW_tHW_GUU,2

tSW_tHS_GUG,1

tSW_cSS_GUC,1

cWW_tHS_GUA,4
cWW_cSS_GUA,4
tWW_tHS_GUA,1
cSH_cSS_GUA,3

tHW_cSS_GGU,1

cHW_cHW_GGG,19
tHW_tHS_GGG,2
tHH_tSS_GGG,1

tHW_tSH_GGA,2
cSW_tSH_GGA,1
cWH_tSW_GGA,2
cWH_tSS_GGA,2
tWH_tSW_GGA,1

cWW_tHH_GCU,3
cWW_cHS_GCU,14
cWW_cSW_GCU,2
cWW_cSH_GCU,1
cWW_cSS_GCU,5

cWW_tHH_GCG,7
cWW_cHS_GCG,1
cWW_tSW_GCG,3
cWW_cSS_GCG,20
