fn,rmsd
Triple_cHW_cSW_GUC_rpr.pdb,4.24
Triple_tHH_tSS_CGU_rpr.pdb,4.25
Triple_cWW_cSW_GCU_exemplar_rpr.pdb,4.25
Triple_cWW_tSW_CUG_rpr.pdb,4.25
Triple_tWW_tHW_CGU_rpr.pdb,4.26
Triple_tSW_tHH_GCU_rpr.pdb,4.27
Triple_cSW_cSH_GUC_rpr.pdb,4.28
Triple_cWW_tHH_UGC_rpr.pdb,4.29
Triple_tHW_cSW_GUC_rpr.pdb,4.29
Triple_cSW_tsS_UCG_rpr.pdb,4.31
Triple_tWW_tsS_UCG_rpr.pdb,4.31
Triple_tHW_cHW_UGC_rpr.pdb,4.31
Triple_cHW_tHH_GCU_rpr.pdb,4.34
Triple_tWW_cHW_GUC_rpr.pdb,4.34
Triple_tSW_cSS_GCU_rpr.pdb,4.35
Triple_cWW_tHH_UCG_rpr.pdb,4.35
Triple_tWW_tHS_CUG_rpr.pdb,4.35
Triple_tSH_cSH_GUC_rpr.pdb,4.35
Triple_tSH_tSH_GUC_rpr.pdb,4.36
Triple_tSH_tSW_UCG_rpr.pdb,4.37
Triple_cHW_tHS_GCU_rpr.pdb,4.37
Triple_tHH_cSS_GCU_rpr.pdb,4.42
Triple_tHW_tSW_GCU_rpr.pdb,4.43
Triple_tWW_cHS_GUC_rpr.pdb,4.43
Triple_tSW_cSW_UGC_rpr.pdb,4.43
Triple_tHW_cSS_GCU_rpr.pdb,4.44
Triple_cSW_cSH_UGC_rpr.pdb,4.44
Triple_tSW_tHW_CUG_rpr.pdb,4.47
Triple_cSW_cHW_UGC_rpr.pdb,4.47
Triple_tWH_tSW_GUC_rpr.pdb,4.47
Triple_cSW_cSS_CUG_rpr.pdb,4.51
Triple_tHH_cSH_GCU_rpr.pdb,4.52
Triple_cSW_tSW_GCU_rpr.pdb,4.52
Triple_tHH_tSW_UCG_rpr.pdb,4.53
Triple_cWW_cHW_UGC_rpr.pdb,4.53
Triple_cWW_tHW_CUG_rpr.pdb,4.56
Triple_tSW_cSS_UCG_rpr.pdb,4.57
Triple_tHW_cSW_UGC_rpr.pdb,4.57
Triple_tSW_cHW_CGU_rpr.pdb,4.58
Triple_tSW_cSH_GCU_rpr.pdb,4.58
Triple_tWH_tSS_CGU_rpr.pdb,4.6
Triple_cSW_cSS_UCG_rpr.pdb,4.62
Triple_tWW_cSW_UGC_rpr.pdb,4.62
Triple_tWW_cHS_UCG_rpr.pdb,4.64
Triple_tWH_tSH_GUC_rpr.pdb,4.64
Triple_tWW_cSS_CUG_rpr.pdb,4.64
Triple_cWW_tsS_CUG_rpr.pdb,4.65
Triple_tHW_cSH_GCU_rpr.pdb,4.65
Triple_cWW_cHS_UCG_rpr.pdb,4.65
Triple_cSW_tHW_CGU_rpr.pdb,4.67
Triple_cWW_cSS_UCG_rpr.pdb,4.67
Triple_cSH_cSW_GCU_rpr.pdb,4.67
Triple_cHW_cSH_GCU_rpr.pdb,4.69
Triple_cHW_cHS_UCG_rpr.pdb,4.69
Triple_cWW_tSW_GCU_rpr.pdb,4.69
Triple_cWW_tHH_GUC_rpr.pdb,4.69
Triple_tWW_cSW_CGU_rpr.pdb,4.7
Triple_cHW_tHH_GUC_rpr.pdb,4.71
Triple_tHH_cSW_CUG_rpr.pdb,4.72
Triple_cSW_cSW_CGU_rpr.pdb,4.77
Triple_cHW_cSW_UCG_rpr.pdb,4.78
Triple_tSW_tsS_CUG_rpr.pdb,4.79
Triple_tSH_cSW_GUC_rpr.pdb,4.79
Triple_tSW_cHH_UGC_rpr.pdb,4.79
Triple_cHW_cSS_UCG_rpr.pdb,4.79
Triple_cWW_cSS_CUG_rpr.pdb,4.8
Triple_cSW_cSS_GUC_rpr.pdb,4.8
Triple_cSW_cSW_GUC_rpr.pdb,4.81
Triple_cWW_cSW_CGU_rpr.pdb,4.83
Triple_tWW_tsS_CUG_rpr.pdb,4.85
Triple_tWW_cHH_UCG_rpr.pdb,4.87
Triple_tSW_cSS_CUG_rpr.pdb,4.87
Triple_tHH_tSW_CGU_rpr.pdb,4.87
Triple_tSH_cSS_GUC_rpr.pdb,4.88
Triple_cWW_cHW_GUC_rpr.pdb,4.89
Triple_cSW_tSH_GUC_rpr.pdb,4.9
Triple_cSH_tSW_UCG_rpr.pdb,4.9
Triple_tSW_cHW_GUC_rpr.pdb,4.91
Triple_tHH_tSW_CUG_rpr.pdb,4.91
Triple_tHW_tHH_GUC_rpr.pdb,4.92
Triple_cSH_tSW_GCU_rpr.pdb,4.92
Triple_tHW_cHH_UGC_rpr.pdb,4.94
Triple_tSW_tHH_UCG_rpr.pdb,4.94
Triple_cHW_tSW_UCG_rpr.pdb,4.95
Triple_cHW_cHW_GUC_rpr.pdb,4.96
Triple_cWW_cHW_CGU_exemplar_rpr.pdb,4.97
Triple_tSW_cHS_GUC_rpr.pdb,4.97
Triple_cSW_tHH_GUC_rpr.pdb,4.98
Triple_tSW_tHH_GUC_rpr.pdb,4.99
Triple_cWW_cHW_CGU_rpr.pdb,4.99
Triple_cSW_cHW_GUC_rpr.pdb,5.01
Triple_cHW_cHS_GUC_rpr.pdb,5.03
Triple_cSW_tsS_CUG_rpr.pdb,5.04
Triple_cHH_cSW_GCU_rpr.pdb,5.04
Triple_tHW_tSW_UGC_rpr.pdb,5.05
Triple_cHH_cSH_GCU_rpr.pdb,5.05
Triple_cSW_cHH_UGC_rpr.pdb,5.05
Triple_tWH_cSH_GUC_rpr.pdb,5.07
Triple_tHH_tSH_CGU_rpr.pdb,5.07
Triple_cHH_tSW_GCU_rpr.pdb,5.07
Triple_tHW_cHS_GUC_rpr.pdb,5.07
Triple_cWW_cHS_GUC_rpr.pdb,5.07
Triple_tWW_cHS_CUG_rpr.pdb,5.09
Triple_cSW_cSW_CUG_rpr.pdb,5.09
Triple_cHW_cSW_GCU_rpr.pdb,5.15
Triple_tWH_cSW_GUC_rpr.pdb,5.19
Triple_cHH_cSS_GCU_rpr.pdb,5.2
Triple_tSH_cSS_UCG_rpr.pdb,5.2
Triple_cSW_cSH_CGU_rpr.pdb,5.21
Triple_tWW_cHW_CGU_rpr.pdb,5.21
Triple_cWW_tHS_CUG_rpr.pdb,5.23
Triple_cSW_cHS_GUC_rpr.pdb,5.23
Triple_cHW_cHH_UCG_rpr.pdb,5.24
Triple_cHW_tSH_GUC_rpr.pdb,5.24
Triple_cWW_cHH_UGC_rpr.pdb,5.25
Triple_tSW_tSW_UGC_rpr.pdb,5.26
Triple_tWH_tSW_CGU_rpr.pdb,5.29
Triple_cWW_cHH_UGC_exemplar_rpr.pdb,5.29
Triple_cSW_cSS_CGU_rpr.pdb,5.3
Triple_tSW_cHS_CUG_rpr.pdb,5.32
Triple_cSW_tSW_GUC_rpr.pdb,5.33
Triple_tHH_cSS_UCG_rpr.pdb,5.34
Triple_cSH_cSS_UCG_rpr.pdb,5.36
Triple_cWH_tSS_CGU_rpr.pdb,5.36
Triple_tWH_cSS_GUC_rpr.pdb,5.36
Triple_tWW_cSH_CGU_rpr.pdb,5.37
Triple_tSW_cSW_CGU_rpr.pdb,5.39
Triple_cHW_tsS_UCG_rpr.pdb,5.39
Triple_cWH_cSW_CUG_rpr.pdb,5.41
Triple_cSH_tSW_CUG_rpr.pdb,5.42
Triple_tSW_tHS_GCU_rpr.pdb,5.43
Triple_cWW_cSH_CGU_exemplar_rpr.pdb,5.44
Triple_cWW_cSH_CGU_rpr.pdb,5.45
Triple_tWH_tSH_CGU_rpr.pdb,5.45
Triple_cWH_tSW_CUG_rpr.pdb,5.48
Triple_tSW_cHS_UCG_rpr.pdb,5.5
Triple_cWW_cHH_UCG_rpr.pdb,5.5
Triple_cSW_cHW_CGU_rpr.pdb,5.52
Triple_cSH_cSW_CUG_rpr.pdb,5.53
Triple_cSW_cHH_UCG_rpr.pdb,5.53
Triple_tWW_tSW_GCU_rpr.pdb,5.54
Triple_cWW_cSS_CGU_exemplar_rpr.pdb,5.61
Triple_cHH_cSS_CGU_rpr.pdb,5.62
Triple_cWW_cHS_CUG_rpr.pdb,5.62
Triple_tWW_cSS_CGU_rpr.pdb,5.63
Triple_cWW_cSS_CGU_rpr.pdb,5.66
Triple_cSW_cHS_CUG_rpr.pdb,5.66
Triple_cWW_cSS_UGC_rpr.pdb,5.7
Triple_cSW_tSW_CUG_rpr.pdb,5.7
